code,libelle,etat,insee_commune,nom_commune,mo_raison_sociale,x,y,precision_coord,categorie,puissance_maximum,productible_moyen,debit,coef_energetique,nb_turbines,type_turbine,titre,date_echeance_titre,hauteur_de_chute
64547002,Moulin de Chopolo,EXPL,64547,Ustaritz,S.A.R.L. MOULIN DE CHOPOLO,339792.0,6264800.0,0,Ouvrage fonctionnant au fil de l'eau,,1599067.0,,,,,,,2.0
65004001,AGOS VIDALOS,EXPL,65004,Agos-Vidalos,SOCIETE HYDRO ELECTRIQUE DU MIDI,449364.0,6219160.0,0,Ouvrage fonctionnant au fil de l'eau,1.36,4671043.0,34.0,,1.0,Kaplan,Autorisée,2065-12-31,4.07
65017001,OULE,EXPL,65017,Aragnouet,SOCIETE HYDRO ELECTRIQUE DU MIDI,471219.0,6195750.0,0,Ouvrage de type Lac,1.76,2703151.0,5.1,,1.0,Francis,Concédée,1994-10-16,44.75
65017002,FABIAN,EXPL,65017,Aragnouet,ELECTRICITE DE FRANCE,473137.0,6191590.0,0,Ouvrage fonctionnant au fil de l'eau,18.4,51046124.0,8.0,"0,682000",2.0,Pelton,Concédée,2030-12-31,292.5
65017003,EGET,EXPL,65017,Aragnouet,SOCIETE HYDRO ELECTRIQUE DU MIDI,475712.0,6191880.0,0,Ouvrage de type Lac,33.1,85394056.0,5.1,"1,730000",1.0,Pelton,Concédée,1994-10-16,749.69
65017004,LES ECHARTS,EXPL,65017,Aragnouet,ELECTRICITE DE FRANCE,475687.0,6191850.0,0,Ouvrage fonctionnant au fil de l'eau,6.5,18848064.0,8.0,"0,225000",2.0,Francis,Concédée,2030-12-31,90.7
65018001,Centrale d'Arbeost,EXPL,65018,Arbéost,SOC. AMENAGEMENT FORCES HYDROELECTRIQUES DE L'OUZOM A ARBEOST,431349.0,6215810.0,0,Ouvrage fonctionnant au fil de l'eau,2.295,11041924.0,0.9,,,,Concédée,,355.0
65029001,NOUAUX,EXPL,65029,Arras-en-Lavedan,ELECTRICITE DE FRANCE,443349.0,6214310.0,0,Ouvrage fonctionnant au fil de l'eau,19.0,72993688.0,12.2,"0,439000",2.0,Francis,Concédée,2032-12-31,191.5
65031001,BORDERES,EXPL,65031,Arreau,ELECTRICITE DE FRANCE,484561.0,6203610.0,0,Ouvrage fonctionnant au fil de l'eau,10.0,38208876.0,7.6,"0,345000",2.0,Francis,Concédée,1992-04-17,177.2
65031002,Centrale d'Arreau,EXPL,65031,Arreau,MOUNIQ JEAN,484022.0,6204190.0,0,Ouvrage fonctionnant au fil de l'eau,0.48,2259799.0,,,,,,,4.5
65032001,TUCOY,EXPL,65032,Arrens-Marsous,ELECTRICITE DE FRANCE,433638.0,6206620.0,0,Ouvrage de type Lac,11.1,33174564.0,5.5,"0,522000",1.0,Pelton,Concédée,2033-12-31,240.0
65032002,PLAN DU TECH,EXPL,65032,Arrens-Marsous,ELECTRICITE DE FRANCE,433762.0,6206760.0,0,Ouvrage de type Lac,2.5,6055000.0,5.5,"0,107000",1.0,Francis double,Concédée,2004-12-31,53.5
65032003,MIGOELOU Basse chute,EXPL,65032,Arrens-Marsous,ELECTRICITE DE FRANCE,432418.0,6204030.0,0,Ouvrage fonctionnant au fil de l'eau,0.26,845563.0,1.0,"0,090000",2.0,Pelton,Concédée,2033-12-31,37.0
65032004,ARRENS,EXPL,65032,Arrens-Marsous,ELECTRICITE DE FRANCE,437023.0,6210620.0,0,Ouvrage fonctionnant par éclusées,24.5,72165376.0,10.7,"0,660000",2.0,Pelton,Concédée,2035-12-31,299.6
65032005,MIGOELOU Haute Chute,EXPL,65032,Arrens-Marsous,ELECTRICITE DE FRANCE,432347.0,6204040.0,0,Ouvrage de type Lac,33.9,27762064.0,5.3,"1,710000",2.0,Pelton,Concédée,2033-12-31,780.5
65045001,AUCUN,EXPL,65045,Aucun,ELECTRICITE DE FRANCE,439747.0,6212870.0,0,Ouvrage fonctionnant au fil de l'eau,6.1,19515000.0,12.1,"0,132000",2.0,Francis,Concédée,2031-12-31,69.5
65059001,CHIROULET,EXPL,65059,Bagnères-de-Bigorre,ELECTRICITE DE FRANCE,462398.0,6211210.0,0,Ouvrage fonctionnant au fil de l'eau,2.0,8104438.0,1.6,"0,345000",2.0,Pelton,Autorisée,1994-10-16,216.9
65059002,ARTIGUES Haute Chute,EXPL,65059,Bagnères-de-Bigorre,ELECTRICITE DE FRANCE,471516.0,6207150.0,0,Ouvrage de type Lac,21.4,12076563.0,3.3,"1,860000",2.0,Pelton,Concédée,2008-12-31,836.5
65059003,ARTIGUES Basse Chute,EXPL,65059,Bagnères-de-Bigorre,ELECTRICITE DE FRANCE,471515.0,6207150.0,0,Ouvrage de type Lac,4.7,18496000.0,2.0,"0,750000",1.0,Pelton,Concédée,2008-12-31,352.7
65059004,Centrale de Soulé,EXPL,65059,Bagnères-de-Bigorre,CENTRALE HYDROELECTRIQUE SOPYREL,467795.0,6223250.0,0,Ouvrage fonctionnant au fil de l'eau,0.145,961738.0,,,,,,,4.48
